"BLOCK","ROW","COLUMN","UID","Mx.Number","Genotype","StemDiam1","StemDiam2","StemDiam3","meanStemDiam","sdStemDiam","AngleInside","AngleOutside","ClumpDiam","TransectCount","TallestStemLigule","TallestStemTrueLeaf","TallestStemFlower","FloweringIntensityLessThan50","FloweringIntensityGreaterThan50","FloweringIntensityGreaterThan80","SenescedGreaterThan80"
3,4,2,"28017"," - Mx 1553#45","45",3.2,2.6,2.5,2.8,0.4,0,5,220,8,81,55,89,"","","y","y"
1,9,5,"27843"," - Mx 1553#46","46",3.9,4.1,4.8,4.3,0.5,5,20,400,11,120,111,120,"","y","","y"
2,2,6,"27949"," - Mx 1553#46","46",4.2,6.8,4.6,5.2,1.4,0,15,290,13,122,111,122,"","y","","y"
3,1,8,"28065"," - Mx 1553#46","46",4.6,4.2,6.1,5,1,0,15,410,11,104,98,NA,"y","","","y"
1,3,1,"27803"," - Mx 1553#47","47",5,4,4.2,4.4,0.5,0,15,300,34,140,125,140,"","","y","y"
2,5,1,"27907"," - Mx 1553#47","47",3.8,3,4,3.6,0.5,0,10,230,28,156,133,156,"","","y","y"
3,3,9,"28076"," - Mx 1553#47","47",3.7,3.6,4,3.8,0.2,0,15,250,20,132,113,132,"","","y","y"
1,1,10,"27878"," - Mx 1553#48","48",4.8,5.5,2.3,4.2,1.7,0,20,220,23,115,109,115,"y","","","y"
2,8,12,"28004"," - Mx 1553#48","48",3.2,4.6,3.4,3.7,0.8,0,20,250,25,110,100,NA,"y","","","y"
3,2,6,"28050"," - Mx 1553#48","48",2.3,2.4,4.9,3.2,1.5,0,10,330,11,88,88,NA,"0","","","y"
1,9,8,"27869"," - Mx 1553#49","49",2.9,5.5,4.3,4.2,1.3,0,10,410,22,169,148,169,"","","y","y"
2,3,10,"27983"," - Mx 1553#49","49",5.3,5.8,3.8,5,1,0,25,390,18,126,108,126,"","y","","y"
3,6,5,"28045"," - Mx 1553#49","49",3.9,4.7,4.3,4.3,0.4,0,10,430,17,155,129,155,"","","y","y"
1,9,1,"27809"," - Mx 1553#50","50",3.7,3.2,4.3,3.7,0.6,0,10,180,13,51,51,NA,"0","","","y"
2,4,6,"27951"," - Mx 1553#50","50",3.7,2.8,2.7,3.1,0.6,0,10,190,25,67,67,NA,"0","","","y"
3,5,12,"28105"," - Mx 1553#50","50",4.5,5.5,2.7,4.2,1.4,0,15,340,23,56,56,NA,"0","","","y"
1,5,6,"27847"," - Mx 1553#51","51",4.3,3.8,4.3,4.1,0.3,0,15,130,13,67,67,NA,"0","","","y"
2,5,7,"27960"," - Mx 1553#51","51",4.3,4.2,3.5,4,0.4,0,20,170,15,64,64,NA,"0","","","y"
3,1,7,"28056"," - Mx 1553#51","51",4.3,2.1,3.4,3.3,1.1,0,10,160,16,67,62,NA,"y","","","y"
1,8,6,"27850"," - Mx 1553#53","53",5.5,4.4,3.9,4.6,0.8,0,5,370,17,155,140,155,"","","y","y"
2,7,2,"27918"," - Mx 1553#53","53",4.3,3.8,4.8,4.3,0.5,0,5,340,12,137,113,141,"","","y","y"
3,6,10,"28088"," - Mx 1553#53","53",4.5,3.3,4.4,4.1,0.7,0,10,310,23,156,135,156,"","","y","y"
1,2,2,"27811"," - Mx 1553#55","55",3.1,3.6,4.2,3.6,0.6,0,10,210,11,149,113,150,"","","y","y"
